State,Province,City,Date,Average_Value,Max_Value_of_the_Day,Hour_of_Max_Value ,Pollutant_AQI,Pollutant_Type
ST19,COT89,CT06,2004-06-16,7.625,14.92,22,15,A
ST19,COT89,CT06,2004-08-27,7.25,28.15,21,28,A
ST19,COT89,CT110,2000-05-22,13.833333,25.59,0,25,A
ST19,COT89,CT110,2000-06-08,9.958333,19.19,19,20,A
ST19,COT89,CT110,2000-10-02,10.25,34.07,21,34,A
ST19,COT89,CT115,2000-05-24,28.208333,47.89,19,46,A
ST19,COT89,CT115,2000-06-24,13.25,21.99,5,22,A
ST19,COT89,CT45,2000-09-17,19.166667,35.24,22,35,A
ST19,COT89,CT45,2000-10-20,34.291667,62.77,20,62,A
ST19,COT89,CT56,2000-05-31,15.041667,24.56,6,25,A
ST20,COT115,CT66,2011-06-30,3.666667,11.18,22,11,A
ST20,COT115,CT66,2012-03-06,7.9625,27.13,19,27,A
ST20,COT115,CT66,2012-07-23,4.671429,8.4,6,8,A
ST20,COT115,CT66,2013-03-30,5.93,28.33,23,27,A
ST20,COT115,CT66,2013-05-29,4.1875,8.66,18,8,A
ST20,COT115,CT66,2013-10-15,10.205,19.01,8,19,A
ST20,COT115,CT66,2014-05-31,3.295833,9.22,21,8,A
ST20,COT115,CT66,2014-06-21,4.629167,11,23,10,A
ST20,COT115,CT66,2014-09-05,4.771429,12.01,5,11,A
ST20,COT115,CT66,2014-12-31,14,31.94,19,31,A
ST20,COT115,CT66,2015-02-20,6.652632,11.93,20,11,A
ST20,COT115,CT66,2015-04-26,4.533333,10.94,22,10,A
ST20,COT115,CT66,2015-06-13,3.333333,6.93,21,7,A
ST20,COT115,CT66,2015-09-03,7.170833,14.78,6,14,A
ST20,COT115,CT66,2015-09-07,5.2,7.73,5,8,A
ST20,COT115,CT66,2016-03-07,17.23913,33.9,6,33,A
ST21,COT16,CT03,2010-11-24,6.708333,12.43,20,12,A
ST21,COT16,CT03,2010-12-24,21.25,32.86,19,34,A
ST21,COT16,CT03,2011-01-24,23.541667,46.46,7,48,A
ST21,COT16,CT03,2011-02-18,24.25,44.95,6,46,A
ST21,COT16,CT03,2011-02-19,15.619048,38.84,23,38,A
ST21,COT16,CT03,2011-03-16,16.208333,34.19,20,34,A
ST21,COT16,CT03,2011-05-11,17.958333,46.28,20,44,A
ST21,COT16,CT03,2011-08-01,7.516667,21.47,22,22,A
ST21,COT16,CT03,2011-11-13,13.816667,30.65,0,29,A
ST21,COT16,CT03,2011-12-04,8.05,11.77,0,11,A
ST21,COT16,CT03,2011-12-19,23.833333,31.36,21,31,A
ST21,COT16,CT03,2012-03-06,13.654167,38.01,0,36,A
ST21,COT16,CT03,2012-05-23,16.419048,40.87,22,41,A
ST21,COT16,CT03,2012-10-04,14.291667,39.48,19,39,A
ST21,COT16,CT03,2012-12-10,6.6125,23.48,16,24,A
ST21,COT16,CT03,2012-12-11,8.74,14.45,20,14,A
ST21,COT16,CT03,2013-01-23,23.4,38.58,19,37,A
ST21,COT16,CT03,2013-02-18,14.8625,32.84,0,32,A
ST21,COT16,CT03,2013-08-11,4.833333,11.25,8,10,A
ST21,COT16,CT03,2013-08-19,3.6125,9.52,5,9,A
ST21,COT16,CT03,2013-12-31,11.4875,24.4,22,23,A
ST21,COT16,CT03,2014-03-11,17.190476,36.44,0,36,A
ST21,COT16,CT03,2014-06-04,8.941667,24.28,22,25,A
ST21,COT16,CT03,2014-06-15,5.354167,15.05,19,15,A
ST21,COT16,CT03,2014-11-18,9.570833,26.79,23,27,A
ST21,COT16,CT03,2015-03-17,17.75,38.17,7,38,A
ST21,COT16,CT03,2015-06-28,7.479167,29.32,21,27,A
ST21,COT16,CT03,2015-11-02,5.679167,9.08,19,8,A
ST21,COT16,CT03,2016-03-08,14.3125,36.85,22,36,A
ST22,COT51,CT40,2000-07-15,9.333333,22.21,0,22,A
ST22,COT51,CT40,2001-05-18,32,56.53,20,55,A
ST22,COT51,CT40,2002-04-24,20.958333,36.15,3,35,A
ST22,COT51,CT40,2002-05-09,14.708333,22.09,4,22,A
ST22,COT51,CT40,2002-05-18,13.25,34.5,21,34,A
ST22,COT51,CT40,2002-06-18,23.166667,36.81,7,37,A
ST22,COT51,CT40,2003-05-12,7.208333,12.11,7,12,A
ST22,COT51,CT40,2003-06-25,27.958333,53,0,54,A
ST22,COT51,CT40,2004-05-02,7.666667,24.68,20,24,A
ST22,COT51,CT40,2004-05-31,9.041667,18.02,11,18,A
ST22,COT51,CT40,2004-09-06,8.625,22.36,21,22,A
ST22,COT51,CT40,2005-04-20,11.416667,27.95,8,27,A
ST22,COT51,CT40,2006-08-14,14.125,39.05,6,38,A
ST22,COT51,CT40,2006-09-05,19.458333,33.04,20,34,A
ST22,COT79,CT30,2002-05-01,25.272727,47.42,7,45,A
ST22,COT79,CT30,2002-05-24,11.208333,16.97,21,17,A
ST22,COT79,CT30,2003-06-02,24.956522,38.87,21,39,A
ST22,COT79,CT30,2004-04-18,5.304348,8.26,17,8,A
ST22,COT79,CT30,2004-06-13,7.347826,19.29,23,20,A
ST22,COT79,CT30,2004-06-27,6.434783,22.09,21,22,A
ST22,COT79,CT30,2004-07-04,5.086957,18.37,22,18,A
ST22,COT79,CT30,2004-08-24,8.695652,15.6,6,15,A
ST22,COT79,CT30,2005-05-14,8.375,18.58,3,19,A
ST22,COT79,CT30,2005-07-15,8.125,12.66,5,12,A
ST23,COT111,CT03,2000-02-27,8.25,17.4,19,17,A
ST23,COT111,CT03,2000-05-01,14.916667,26.42,8,26,A
ST23,COT111,CT03,2000-09-29,11.375,16.43,19,16,A
ST23,COT111,CT03,2006-04-13,6.666667,12.45,7,12,A
ST23,COT111,CT03,2006-05-30,7.958333,20.09,7,20,A
ST23,COT111,CT03,2006-10-08,6.125,8.61,8,8,A
ST23,COT111,CT03,2006-10-12,4.291667,7.57,6,8,A
ST23,COT111,CT03,2006-12-15,12.5,25.05,9,25,A
ST23,COT111,CT03,2007-01-10,5.208333,15.47,22,16,A
ST23,COT111,CT03,2007-05-07,8.826087,15.77,6,15,A
ST23,COT111,CT03,2007-10-09,6.708333,22.1,9,23,A
ST23,COT111,CT03,2008-05-18,1.291667,4.84,6,5,A
ST23,COT111,CT03,2008-10-11,7.458333,10.13,9,10,A
ST23,COT111,CT03,2009-03-27,10.333333,20.43,16,20,A
ST23,COT111,CT03,2009-04-01,11.409091,25.73,21,25,A
ST23,COT111,CT136,2006-03-12,14.791667,44,23,44,A
ST23,COT111,CT136,2006-04-19,18.583333,46.33,22,45,A
ST23,COT111,CT136,2006-09-28,11.736842,28.46,5,28,A
ST23,COT111,CT136,2006-12-14,24.25,39.12,20,40,A
ST23,COT111,CT136,2007-03-12,15.916667,37.97,5,38,A
ST23,COT111,CT136,2007-07-14,7.333333,18.4,5,19,A
ST23,COT111,CT136,2007-10-04,12.583333,19.78,9,20,A
ST23,COT111,CT136,2008-04-10,18.782609,29.12,20,28,A
ST23,COT111,CT136,2008-09-12,2.666667,8.23,20,8,A
ST23,COT111,CT46,2000-07-09,14.666667,30.81,0,30,A
ST23,COT111,CT46,2000-10-13,30.608696,57.46,20,57,A
ST23,COT111,CT46,2000-10-19,26.863636,48.76,18,50,A
ST23,COT111,CT46,2000-12-16,26.75,27.57,0,28,A
ST23,COT111,CT46,2006-02-24,11.208333,29.87,23,29,A
ST23,COT111,CT46,2006-05-15,7.608696,20.41,22,21,A
ST23,COT111,CT46,2006-05-28,10.458333,29.14,22,29,A
ST23,COT111,CT46,2006-08-25,10.375,27.37,5,28,A
ST23,COT111,CT46,2006-10-26,14.875,28.85,18,28,A
ST23,COT111,CT46,2007-06-20,5.166667,8.39,4,8,A
ST23,COT111,CT46,2007-08-21,12.73913,18.47,7,18,A
ST23,COT111,CT46,2007-08-26,3.833333,9.12,7,9,A
ST23,COT111,CT46,2007-09-07,11.695652,22.16,6,23,A
ST23,COT111,CT46,2008-04-10,17.826087,22.47,5,22,A
ST23,COT111,CT46,2008-05-01,17.291667,27.69,6,27,A
ST23,COT111,CT46,2008-08-17,7,29.48,20,28,A
ST23,COT111,CT46,2009-02-27,11.208333,17.98,0,18,A
ST23,COT111,CT46,2009-03-07,18.083333,37.39,7,39,A
ST23,COT111,CT46,2009-04-08,16.565217,43.05,23,42,A
ST23,COT111,CT90,2000-04-24,17.958333,35.13,21,36,A
ST23,COT111,CT90,2000-05-02,20.291667,33.12,23,34,A
ST23,COT111,CT90,2000-05-04,19.041667,34,18,35,A
ST23,COT111,CT90,2000-06-02,26.333333,52.23,7,51,A
ST23,COT119,CT08,2011-05-21,9.633333,26.49,22,26,A
ST23,COT119,CT08,2011-07-08,7.76087,12.56,6,12,A
ST23,COT119,CT08,2011-10-31,13.134783,25.68,18,25,A
ST23,COT119,CT08,2012-05-03,7.2875,17.52,20,16,A
ST23,COT119,CT08,2012-09-16,11.358333,19.46,0,19,A
ST23,COT119,CT08,2013-07-15,5.754167,11,21,10,A
ST23,COT119,CT08,2013-08-04,4.958333,14.51,1,14,A
ST23,COT119,CT08,2013-09-30,9.516667,23.47,20,23,A
ST23,COT119,CT08,2013-12-20,15.283333,33.69,18,32,A
ST23,COT119,CT08,2014-08-21,7.658333,15.05,20,14,A
ST23,COT119,CT08,2014-12-28,11.395833,18.98,20,19,A
ST23,COT119,CT08,2015-01-23,13.566667,22.1,5,21,A
ST23,COT119,CT08,2015-03-01,14.345833,34.12,19,34,A
ST23,COT119,CT08,2015-06-22,6.190909,13.51,23,12,A
ST23,COT119,CT08,2015-11-23,11.326316,27.74,19,26,A
ST23,COT119,CT08,2015-12-21,12.982609,23.49,7,23,A
ST23,COT20,CT03,2012-10-15,7.05,17.09,5,16,A
ST23,COT20,CT03,2013-04-10,13.304762,49.3,5,49,A
ST23,COT20,CT03,2013-06-15,8.770833,30.53,23,30,A
ST23,COT20,CT03,2013-06-22,5.479167,15.47,5,15,A
ST23,COT20,CT03,2013-10-20,9.9375,31.43,18,29,A
ST23,COT20,CT21,2000-04-08,10.625,16.06,19,16,A
ST23,COT20,CT21,2000-09-18,18.5,27.49,19,26,A
ST23,COT20,CT21,2000-09-28,26.375,37.61,16,36,A
ST23,COT20,CT21,2007-07-16,22.708333,33.78,3,35,A
ST23,COT20,CT21,2007-09-19,22.590909,36.56,20,38,A
ST23,COT20,CT21,2009-10-16,15.791667,19.14,18,20,A
ST23,COT20,CT21,2010-08-13,8.8375,16.04,7,15,A
ST23,COT20,CT21,2011-05-06,10.816667,21.62,0,21,A
ST23,COT20,CT21,2012-04-23,6.441667,13.74,17,13,A
ST23,COT20,CT21,2012-06-12,6.429167,9.58,20,8,A
ST23,COT54,CT27,2011-07-31,6.470833,14.14,23,13,A
ST23,COT54,CT27,2011-09-11,6.1875,11.52,21,10,A
ST23,COT54,CT27,2012-06-05,0.318182,1.77,23,1,A
ST23,COT54,CT27,2012-10-24,6.4,12.75,7,12,A
ST23,COT54,CT27,2013-07-02,3.438889,11.89,23,11,A
ST23,COT54,CT27,2013-09-16,3.282609,5.87,6,6,A
ST23,COT54,CT27,2014-09-01,2.6625,4.39,15,4,A
ST23,COT54,CT27,2015-05-16,2.770833,3.73,9,3,A
ST23,COT54,CT27,2015-05-24,3.391667,5.59,3,5,A
ST23,COT54,CT27,2015-08-02,1.929167,4.15,23,4,A
ST23,COT94,CT116,2013-07-02,1.191667,3.32,12,3,A
ST23,COT94,CT116,2013-08-30,4.391304,9.66,7,9,A
ST23,COT94,CT116,2013-10-03,7.947826,12.87,3,12,A
ST23,COT94,CT116,2014-04-20,5.895833,20.43,5,20,A
ST23,COT94,CT116,2014-06-11,3.829167,9.48,6,8,A
ST23,COT94,CT116,2015-07-01,3.582609,6.86,7,7,A
ST24,COT100,CT123,2001-06-20,16.125,35.93,5,36,A
ST24,COT100,CT123,2001-07-19,7.875,22.25,5,23,A
ST24,COT100,CT123,2001-07-31,9.583333,16.61,9,16,A
ST24,COT100,CT123,2001-08-17,15.916667,41.37,20,42,A
ST24,COT100,CT123,2003-06-21,10.333333,25.14,22,25,A
ST24,COT100,CT123,2003-08-06,15.47619,24.53,2,24,A
ST24,COT100,CT123,2004-06-16,10.533333,19.03,22,19,A
ST24,COT59,CT135,2000-04-16,18.291667,36.05,20,36,A
ST24,COT59,CT135,2000-08-08,15.125,27.13,9,26,A
ST24,COT59,CT135,2000-08-29,12.75,23.43,1,23,A
ST24,COT59,CT135,2001-10-10,18.833333,29.48,0,29,A
ST24,COT59,CT135,2001-10-14,7,16.23,20,16,A
ST24,COT59,CT135,2002-07-24,12.277778,26.14,23,26,A
ST24,COT59,CT135,2002-08-11,13.666667,51.14,21,49,A
ST24,COT59,CT135,2003-04-03,12.666667,27.81,8,27,A
ST24,COT59,CT135,2003-06-13,6.041667,9.34,20,9,A
ST24,COT59,CT135,2003-10-10,15,26.22,7,25,A
ST24,COT59,CT135,2003-10-16,20.833333,40.13,19,39,A
ST24,COT59,CT135,2004-07-17,11.708333,36.86,0,36,A
ST24,COT59,CT135,2004-10-05,14.047619,27.77,0,28,A
ST24,COT59,CT135,2005-06-04,11.75,30.64,22,29,A
ST24,COT59,CT135,2005-07-12,6.75,18.28,22,18,A
ST24,COT59,CT135,2005-08-29,12.25,21.55,0,21,A
ST24,COT59,CT135,2006-05-25,8.217391,11.84,21,12,A
ST24,COT59,CT135,2006-08-19,14.916667,36.73,22,36,A
ST24,COT59,CT135,2006-10-17,13.875,24.44,17,25,A
ST24,COT59,CT135,2007-04-01,4.291667,5.68,15,6,A
ST24,COT59,CT135,2007-06-11,7.458333,11.27,19,11,A
ST24,COT59,CT135,2007-09-14,9.458333,22.75,23,22,A
ST24,COT59,CT135,2007-12-28,18.041667,23.25,16,24,A
ST24,COT59,CT135,2009-01-22,25.166667,37.22,7,36,A
ST24,COT59,CT135,2009-03-07,6.083333,11.9,7,12,A
ST24,COT59,CT135,2009-04-19,5.166667,8.24,18,8,A
ST24,COT59,CT135,2009-12-02,8.583333,19.8,0,20,A
ST24,COT59,CT135,2010-01-23,9.25,27.64,20,28,A
ST24,COT59,CT135,2010-06-07,11.25,33.98,21,34,A
ST24,COT59,CT135,2010-07-15,11.047619,27.04,0,26,A
ST24,COT59,CT135,2010-08-16,5.958333,15.62,21,15,A
ST24,COT59,CT135,2010-10-09,22.125,43.99,19,43,A
ST24,COT59,CT135,2010-11-08,22.904762,45.7,19,47,A
ST24,COT59,CT135,2011-02-03,9.333333,17.54,18,18,A
ST24,COT59,CT135,2011-04-03,12.541667,31.83,0,31,A
ST24,COT59,CT135,2011-08-01,7.208333,19.11,22,19,A
ST24,COT59,CT135,2011-10-07,10.041667,21.81,6,22,A
ST24,COT59,CT135,2011-11-23,5.291667,18.07,23,18,A
ST24,COT59,CT135,2011-12-11,6.541667,13.57,18,13,A
ST24,COT59,CT135,2012-08-21,10.125,22.34,23,23,A
ST24,COT59,CT135,2012-09-13,9.416667,18.46,6,19,A
ST24,COT59,CT135,2013-12-09,8.75,11.49,8,11,A
ST24,COT59,CT135,2014-02-01,20.625,38.32,0,37,A
ST24,COT59,CT135,2014-03-14,14.375,32.33,7,33,A
ST24,COT59,CT135,2014-04-19,4.916667,7.41,16,8,A
ST24,COT59,CT135,2014-09-02,5.913043,18.38,8,18,A
ST24,COT59,CT135,2014-11-16,8.230435,22.49,0,23,A
ST24,COT59,CT135,2015-01-07,12.482609,26.64,7,26,A
ST24,COT59,CT135,2015-01-19,13.16087,25.7,0,25,A
ST24,COT59,CT135,2015-02-13,11.713043,34.61,20,34,A
ST24,COT59,CT135,2015-05-10,3.143478,8.06,21,8,A
ST24,COT59,CT135,2015-06-22,10.895652,20.43,3,21,A
ST24,COT59,CT135,2015-07-20,8.104348,16.85,8,16,A
ST24,COT59,CT135,2015-11-18,3.452174,6.12,7,6,A
ST24,COT59,CT135,2015-12-04,14.534783,27.77,19,28,A
ST24,COT59,CT135,2016-01-24,14.943478,36.55,20,36,A
ST24,COT59,CT135,2016-02-14,3.191304,5.57,4,5,A
ST24,COT59,CT135,2016-04-01,2.279167,3.03,6,3,A
ST24,COT88,CT23,2014-05-02,5.726316,11.08,20,11,A
ST24,COT88,CT23,2014-05-25,4.786957,15.64,21,15,A
ST24,COT88,CT23,2014-09-12,3.052381,9.79,6,9,A
ST24,COT88,CT23,2014-10-09,8.288889,13.81,6,13,A
ST24,COT88,CT23,2014-11-01,2.190909,2.66,23,2,A
ST24,COT88,CT23,2014-11-26,5.468182,12.38,21,12,A
ST24,COT88,CT23,2015-02-27,10.481818,27.18,0,26,A
ST24,COT88,CT23,2015-05-20,3.004348,6.46,19,6,A
ST24,COT88,CT23,2015-10-01,2.926087,5.1,17,5,A
ST25,COT104,CT64,2014-12-13,2.857143,6.91,17,7,A
ST25,COT104,CT64,2015-01-14,0.708333,3.73,17,4,A
ST25,COT104,CT64,2015-03-20,0.791667,5.47,5,6,A
ST25,COT109,CT03,2011-02-03,1.230435,1.59,8,1,A
ST25,COT109,CT03,2011-06-30,6.366667,19.13,7,18,A
ST25,COT109,CT03,2011-08-05,5.625,15.26,20,15,A
ST25,COT109,CT03,2011-10-26,2.641667,12.82,18,12,A
ST25,COT109,CT03,2012-04-11,1.922222,2.79,12,2,A
ST25,COT109,CT03,2012-08-09,4.416667,12.32,2,12,A
ST25,COT109,CT03,2012-10-31,4.034783,14.55,18,14,A
ST25,COT109,CT03,2012-12-22,8.508696,38.68,17,37,A
ST25,COT109,CT03,2013-07-16,4,12.94,5,12,A
ST25,COT109,CT03,2014-02-05,11.529167,22.24,6,23,A
ST25,COT109,CT03,2014-03-29,7.383333,16.93,4,17,A
ST25,COT109,CT03,2014-07-04,3.482609,13.14,21,13,A
ST25,COT109,CT03,2015-01-30,6.5,20.2,1,20,A
ST25,COT109,CT03,2015-06-14,1.2,2.81,0,3,A
ST25,COT109,CT03,2015-07-21,4.729167,9.06,7,8,A
ST25,COT109,CT03,2015-08-12,5.304167,13.41,2,13,A
ST25,COT109,CT03,2015-08-14,4.990909,15.68,22,15,A
ST25,COT109,CT03,2015-10-02,3.082609,4.41,18,4,A
ST25,COT109,CT03,2015-11-01,2.491304,14.3,20,14,A
ST25,COT109,CT03,2016-01-27,1.556522,3.24,19,3,A
ST25,COT131,CT03,2007-01-12,3.052632,7.48,4,8,A
ST25,COT131,CT03,2007-09-02,0.913043,4.72,6,5,A
ST25,COT131,CT03,2007-10-03,0.166667,1.85,17,2,A
ST25,COT131,CT03,2007-10-07,0.041667,0.92,23,1,A
ST25,COT131,CT03,2007-11-24,4.333333,9.13,1,9,A
ST25,COT131,CT03,2008-03-15,2.695652,9.38,4,9,A
ST25,COT131,CT03,2008-04-17,2.956522,11.34,1,11,A
ST25,COT131,CT03,2008-05-31,1.173913,3.7,23,4,A
ST25,COT131,CT03,2008-06-21,1.869565,4.75,23,5,A
ST25,COT131,CT03,2008-09-11,1.791667,2.73,0,3,A
ST25,COT60,CT03,2011-10-04,3.666667,8.5,4,8,A
ST25,COT60,CT03,2011-10-19,10.333333,47.43,10,45,A
ST25,COT60,CT03,2012-04-01,1.208333,4.86,7,5,A
ST26,COT105,CT03,2000-01-06,7.583333,21.96,13,22,A
ST26,COT105,CT03,2000-02-19,1.375,3.64,2,4,A
ST26,COT105,CT03,2000-03-13,4.083333,6.89,23,7,A
ST26,COT105,CT03,2000-03-30,4.541667,10.85,10,10,A
ST26,COT105,CT03,2000-05-16,2.3,3.73,13,4,A
ST26,COT105,CT03,2000-06-20,0.583333,0.96,0,1,A
ST26,COT105,CT03,2001-02-09,5.541667,24.59,0,24,A
ST26,COT105,CT03,2001-02-17,7.25,15.51,10,15,A
ST26,COT105,CT03,2001-09-02,2.5,6.43,20,7,A
ST26,COT105,CT03,2002-11-03,3.5,5.54,1,6,A
ST26,COT105,CT03,2002-11-04,4,8.8,22,8,A
ST26,COT105,CT03,2003-03-22,1.25,10.44,21,10,A
ST26,COT105,CT03,2003-10-18,5.958333,8.84,20,8,A
ST26,COT105,CT03,2004-06-02,4.208333,8.2,8,8,A
ST26,COT105,CT03,2004-06-25,2.625,5.62,21,6,A
ST26,COT105,CT03,2004-08-10,6.041667,20.1,14,20,A
ST26,COT105,CT03,2004-10-18,4.791667,15.69,16,15,A
ST26,COT105,CT03,2005-12-23,7.166667,8.74,16,8,A
ST26,COT105,CT03,2005-12-24,2.5,4.72,0,5,A
ST26,COT38,CT03,2000-06-08,3.227273,5.52,5,6,A
ST26,COT38,CT03,2001-12-05,4.791667,16.85,19,17,A
ST26,COT38,CT03,2002-04-21,4.125,22.34,22,22,A
ST26,COT43,CT98,2000-01-25,8.958333,25.79,22,25,A
ST26,COT43,CT98,2000-04-10,19.583333,43.56,6,43,A
ST26,COT43,CT98,2000-04-20,5.958333,10.05,8,10,A
ST26,COT43,CT98,2000-06-09,13,19.37,0,20,A
ST26,COT43,CT98,2000-07-17,14.681818,28.02,7,28,A
ST26,COT43,CT98,2000-08-01,24.083333,38.12,1,39,A
ST26,COT43,CT98,2000-11-13,4.875,15.72,7,16,A
ST26,COT43,CT98,2001-01-17,17.166667,37.25,21,36,A
ST26,COT43,CT98,2001-04-13,28.882353,55.63,21,57,A
ST26,COT43,CT98,2001-12-21,31.125,58.12,5,61,A
ST26,COT43,CT98,2002-02-26,4.125,8.24,3,8,A
ST26,COT43,CT98,2002-07-21,10,20.13,1,21,A
ST26,COT43,CT98,2002-07-30,16.75,27.58,21,27,A
ST26,COT43,CT98,2002-08-27,23.791667,38.48,0,40,A
ST26,COT43,CT98,2003-06-16,24.333333,43.91,23,45,A
ST26,COT43,CT98,2004-01-19,13.75,26.35,18,25,A
ST26,COT43,CT98,2004-04-19,11.791667,30.68,21,29,A
ST26,COT43,CT98,2004-06-03,17.041667,43.98,20,42,A
ST26,COT43,CT98,2004-06-19,5.958333,20.15,22,21,A
ST26,COT43,CT98,2004-10-11,13.666667,18.94,12,19,A
ST26,COT43,CT98,2005-01-21,15.541667,19.35,18,19,A
ST26,COT43,CT98,2005-02-05,21.458333,31.08,7,32,A
ST26,COT43,CT98,2005-03-15,22.041667,39.94,1,40,A
ST26,COT43,CT98,2005-04-07,12.666667,33.68,23,33,A
ST26,COT43,CT98,2005-05-02,10.708333,36.43,21,35,A
ST26,COT43,CT98,2005-08-11,18.583333,37.84,6,39,A
ST26,COT43,CT98,2006-01-20,12.416667,15.62,8,15,A
ST26,COT43,CT98,2006-04-23,12.458333,22.13,6,23,A
ST26,COT43,CT98,2006-08-11,11.869565,26.44,0,26,A
ST26,COT43,CT98,2006-09-19,8.166667,30.24,19,30,A
ST26,COT43,CT98,2006-11-13,13.916667,34.01,19,35,A
ST26,COT43,CT98,2006-12-31,4.25,14.79,2,15,A
ST26,COT43,CT98,2007-01-04,13.791667,19.26,17,20,A
ST26,COT43,CT98,2007-05-18,11.904762,25.69,21,26,A
ST26,COT43,CT98,2007-06-02,7.5,28.61,0,29,A
ST26,COT43,CT98,2007-06-11,8.791667,19.15,3,19,A
ST26,COT43,CT98,2007-11-01,25.75,39.33,18,39,A
ST26,COT43,CT98,2008-10-09,12.958333,20.67,18,20,A
ST26,COT43,CT98,2008-11-04,9.041667,15.73,7,16,A
ST26,COT43,CT98,2008-11-18,16.041667,23.04,0,24,A
ST26,COT43,CT98,2009-03-17,19.565217,43.17,20,44,A
ST26,COT43,CT98,2009-10-30,6.5,13.73,23,13,A
ST26,COT43,CT98,2009-11-29,8.375,19.47,23,20,A
ST26,COT43,CT98,2009-12-20,10.5,17.08,5,17,A
ST26,COT43,CT98,2010-01-01,15.416667,30.16,2,29,A
ST26,COT43,CT98,2010-01-31,21.541667,35.51,0,34,A
ST26,COT43,CT98,2010-10-04,17.75,34.05,19,34,A
ST26,COT43,CT98,2011-04-20,8.45,32.07,21,31,A
ST26,COT43,CT98,2011-10-25,7.625,13.9,19,13,A
ST26,COT43,CT98,2011-12-31,15.675,50.64,1,48,A
ST26,COT43,CT98,2012-02-10,4.7375,11.45,3,10,A
ST26,COT43,CT98,2012-04-16,6.6875,29.19,20,28,A
ST26,COT43,CT98,2013-03-30,16.779167,34.56,3,35,A
ST26,COT43,CT98,2013-06-13,9.225,29.03,22,28,A
ST26,COT43,CT98,2013-11-11,11.05,20.7,8,20,A
ST26,COT43,CT98,2013-11-16,5.004167,6.43,18,6,A
ST26,COT43,CT98,2014-06-27,4.5875,6.22,19,6,A
ST26,COT43,CT98,2014-07-10,6.4,14.01,6,13,A
ST26,COT43,CT98,2014-10-05,11.441667,31.3,18,30,A
ST26,COT43,CT98,2014-11-27,11.791667,21.28,19,21,A
ST26,COT43,CT98,2015-04-14,13.183333,34.68,7,34,A
ST26,COT43,CT98,2015-08-05,10.116667,23.47,7,22,A
ST26,COT43,CT98,2016-01-11,13.754167,32.02,21,31,A
ST26,COT43,CT98,2016-02-10,16.2875,32.79,7,32,A
ST27,COT127,CT72,2001-10-19,44.083333,59.91,7,60,A
ST27,COT127,CT72,2002-05-14,14.125,22.43,6,23,A
ST27,COT127,CT72,2002-08-14,36.15,64.08,8,64,A
ST27,COT127,CT72,2002-09-26,23.956522,33.63,7,32,A
ST27,COT127,CT72,2003-01-15,28.291667,39.86,7,39,A
ST27,COT127,CT72,2011-03-05,25.541667,46,8,47,A
ST27,COT127,CT72,2011-05-02,34.409091,48.44,20,50,A
ST27,COT127,CT72,2011-08-05,17.916667,29.12,18,28,A
ST27,COT127,CT72,2011-12-12,40.625,74.7,7,74,A
ST27,COT127,CT72,2012-03-06,17.916667,43.12,19,42,A
ST27,COT127,CT72,2012-06-06,18.75,37.81,19,37,A
ST27,COT127,CT72,2012-07-06,14.041667,32.06,21,33,A
ST27,COT127,CT72,2012-08-09,19.958333,48.42,18,50,A
ST27,COT127,CT72,2012-08-17,16.041667,40.87,4,40,A
ST27,COT127,CT72,2012-09-07,24.458333,51.47,10,49,A
ST27,COT127,CT72,2012-12-13,31.416667,47.06,23,46,A
ST27,COT127,CT72,2013-01-18,17.708333,33.27,20,32,A
ST27,COT127,CT72,2013-03-29,17.416667,43.6,5,42,A
ST27,COT127,CT72,2013-06-11,10.25,27.75,0,28,A
ST27,COT127,CT72,2013-08-29,18.833333,34.39,8,33,A
ST27,COT127,CT72,2013-10-09,19.421053,26.74,19,27,A
ST27,COT127,CT72,2013-12-15,14.818182,22.09,17,22,A
ST27,COT127,CT72,2014-01-17,33.583333,53.21,7,51,A
ST27,COT127,CT72,2014-02-21,45.75,58.67,12,57,A
ST27,COT127,CT72,2014-04-21,42.75,58.21,11,56,A
ST27,COT127,CT72,2014-12-11,13.625,22.91,18,23,A
ST27,COT127,CT72,2014-12-17,13.590909,26.48,7,25,A
ST27,COT127,CT72,2015-01-29,38,53.72,12,53,A
ST27,COT127,CT72,2015-03-02,18.875,36.7,0,37,A
ST27,COT127,CT72,2015-06-14,12.666667,37.54,3,38,A
ST27,COT127,CT72,2015-07-10,7.272727,20.66,22,21,A
ST27,COT127,CT72,2015-07-31,12.458333,37.59,20,37,A
ST27,COT127,CT72,2015-08-11,9.166667,15.92,6,16,A
ST27,COT127,CT72,2015-08-22,7.416667,18.83,21,19,A
ST27,COT127,CT72,2015-10-25,5.428571,8.57,4,8,A
ST27,COT127,CT72,2015-12-18,11.291667,19.75,23,19,A
ST27,COT30,CT32,2000-03-06,23.75,45.17,19,44,A
ST27,COT30,CT32,2000-06-15,17.708333,46.97,19,48,A
ST27,COT30,CT32,2000-10-24,34.375,41.91,18,41,A
ST27,COT30,CT32,2001-05-24,16.090909,22.36,6,23,A
ST27,COT30,CT32,2001-08-13,13.25,18.66,5,18,A
ST27,COT30,CT32,2001-08-30,13.833333,39.58,7,38,A
ST27,COT30,CT32,2001-09-19,28.666667,59.09,0,61,A
ST27,COT30,CT32,2001-10-12,24.25,42.36,18,43,A
